text,Label,Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SammyG_MD Just because you send a vaccine to a country doesn't make the people get it.,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ImmigrantBased @GAKechnie @ktumulty Yup but the majority of Canada has given the vaccine the red carpet treatment. they have fired alot of people who refuse to get it. And now the people cheer for the kids to get the jab!! Canada has lost its way sadly.,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ChanceTyColeman SAY NO TO COVID-19 VACCINES

Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine.

USA
UK
EU
AUSTRALIA
CANADA
IRELAND
AUSTRIA",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@carol_fraughton @ChristianWalk1r Same in Florida, except we aren't wearing masks and have no complaints about that.  Pick your battles",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ScottAdamsSays SAY NO TO COVID-19 VACCINES

Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine.

USA
UK
EU
AUSTRALIA
CANADA
IRELAND
AUSTRIA",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@usehead_heart @StoneSculptorJN @Humanlty1o1 @Tormund_G_ @StanTumoth @TrumpDownfall @SwearingJustin @SoupVessel @anja_weimer @Thumper754 @RantsWinnipeg @tlstene @MarkSlapinski @MarkFriesen08 Unvaxed can't travel out of Canada. That's stopping mobility rights. Apparently Canadians are also being turned away at the border crossings coming back to Canada. Illegal. Read your passport. Many companies are abusing their power. Thankfully Wcb will cover reactions,movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@spectatorindex ""Oh shit, Here we go again""
Carl Johnson",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@qatarairways @ciftci_sem How come some of the Qatar ticket fares to Canada are via Doha with only 3 hrs of wait knowing that Canada requires a negative covid test even from the transit city, these tickets are still available online for around 2300 dollars!",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MattGiancolaPPC I don't want your money anyway.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RarelySurprised @StoneSculptorJN @Humanlty1o1 @Tormund_G_ @StanTumoth @TrumpDownfall @SwearingJustin @SoupVessel @anja_weimer @Thumper754 @RantsWinnipeg @tlstene @MarkSlapinski @MarkFriesen08 Canadians are welcome to leave the country regardless of their vaccination status. Whether another country will take them or not is not up to Canada.,movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RarelySurprised @StoneSculptorJN @Humanlty1o1 @Tormund_G_ @StanTumoth @TrumpDownfall @SwearingJustin @SoupVessel @anja_weimer @Thumper754 @RantsWinnipeg @tlstene @MarkSlapinski @MarkFriesen08 Canadians are able to return to Canada but have to meet the protocols. Current protocols involve testing and quarantine.  If someone does not meet these requirements then they need to come back when they do.,movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If anyone wants a Holiday experience without discrimination, or to have a few drinks WITHOUT showing your COVID passport, you are welcome at my home

#Canada #Quebec #COVID #Freedom",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@raelyn50876628 @RepSwalwell In Canada we have QR code. Keep it on your phone and show and scan to get into large venues. Helps with contact tracing and proof of vaccination.,movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers Same!   ,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CheriDiNovo And fathead Ford sits on them!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Gwynievre1 @ProlongingCovid @shibby3235 I was looking at Belize. I've been checking out house prices. It's getting tougher to believe Canada is going to pull out of this. Seriously considering selling everything and cashing out.,economy,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@FuzzySkeptic Yah but think back look who was in the White House and governor mansions, add Downing Street, Brazil, India, Mexico etc etc etc. I get it but who gets to be the deciders here with 198 sovereign countries.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@6_levy @JustinTrudeau @GovGPAA Covaxin is a vaccine made in India.

We have four (4) others here in Canada that have better efficacy than Covaxin.

Why would you want a vaccine that provides less protection?

And dragging feet for months?
Canada has one of the highest rates of vax'd in the world...",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers wish I were cliser!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers wish I were closer!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@jermaster76 @EricTopol Could it be the majority of people receiving vaccines in SA are wealthy, so can afford to fly to Netherlands...
Vax rates are highest among wealthy, even in Canada.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@allan_theriault @ctvedmonton Once again we hear about how this is all the ""un-vacced""ù fault. Only in Canada  ëé",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman This is so hard because it's seems like all of Canadians love being part of the Covid cult.,covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@anthonysimone95 @marabscott @ItsDeanBlundell Who tf wants to come to plague state? You dissed Canada. You stay tf out.,movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@taylerj13 @JustinTrudeau @GovGPAA Please don't speak for me.

By saying ""Canada"", you imply that every citizen wants this, but that simply isn't true.

Your guy lost the election, get over it.

""Canada"" doesn't want PMJT out, you do.",government,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman They have no control of your mind. It's stressful being squeezed out of society by so many followers but your freedom of your mind is yours and only yours. Do not surrender your freedom of your mind. I will die free!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers and you mine.  :),others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@rick_pittman @KrisEriksen77 I'm so sorry. As a mental health RN terminated from my job on Monday for not disclosing, all I want to do is support people with severe and persistent mental health challenges stay well in the community. Instead I was fired with cause off psychological leave.  ò≠ Sending peace.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelSchroeder79 @BorisJohnson Seriously do your homework. Single use only and only N99 masks can stop virus. Why are you even on my timeline? Do what the hell you like in France. Sorry Canada Miss Teen Mom. Read this reply so I can block your shit #CovidUK #COVIDIOT #Covid_19,precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada has fallen, covid 19 tyranny is winning and is winning fast",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MattGiancolaPPC what about people who had CRB ended who still can't get work? and $300/week isn't enough for many families to live off of.,economy,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@GreyTonka @fact_factoid Sure provided there's only about 50 ppl were you live.

I'm not a covid19 nut, but don't downplay what's happened in Canada or around the world.
Not just old ppl die.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@jsan1972 @BorisJohnson Ok jackass, I will do that. I'd rather try something than nothing. And really Miss Canada?? Where do I claim to be that?",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MarkMeadows @Jim_Jordan I find this amusing. We  allow 100s of 1000s of  illegals in via southern border w/o testing, masking or knowing where they went!! But we are putting travel bans on other countries and just recently opened up Canada. WORST ADMINISTRATION EVER!! I DON'T BELIEVE ANYTHING THEY SAY!",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Hobbsmeerkat @brucemontejr @MarkLevineNYC NZ here  ëã

Not perpetual lockdown. In fact, we were successfully COVID free for over a year until a few people bitched about opening- so we got delta from Australia in a 2 week open border free-for-all. Since then, only Aucklands been long-term lockdown.
Check your sources, bro",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@yolandebouka No let's be clear you racist shill "" . COVID got to Africa from its country of Origin - China    . we both know that.

Finally you seem to have arrived in Canada to stir racial division""  personally I would have you put on a plane back to Windhoek "" . why are you in    ???",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Myempiricallife @ReverendWashy @helioborges @jordanbpeterson WTF does that even mean? Are you kidding me? Japan's best treatment is the vaccine. And India and Africa are you joking? They're the gold standard in medicine? I don't think so. If you get sick and you are unvaccinated in BC you still get treated. You're nonsensical,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman oohh...dripping with sarcasm  òÇ,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman @ComradeVero You're a normally adjusted person on the right side of history.  Trouble is for many of us is that we find it hard to understand why others may want to make us suffer. Its new to many in democratic countries to be overtly oppressed by their government. Stay Strong!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@80ssummercamp @CTVNews Should Canada worry about the 50% chance of premature death form cancer and heart disease before the 0.057% chance of premature death form covid?
Gee where should the money go?",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@JackPontiac1 @CTVNews Should Canada worry about the 50% chance of premature death form cancer and heart disease before the 0.057% chance of premature death form covid?
Gee where should the money go?",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@cordingly_e @SubtleEnormity @CTVNews Should Canada worry about the 50% chance of premature death form cancer and heart disease before the 0.057% chance of premature death form covid?
Gee where should the money go?",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JustinTrudeau @CanadianPM PM Trudeau please ban all international flights into Canada immediately so the new South African covid variant does not enter our country. We have no direct flights from South Africa so that does not help. Ban Amsterdam and London flights especially.,variant,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@rick_pittman That should be ""one too many"".
But it's not.
And we know this does not stop at one, and others in your situation have given up. This is nipot acceptable as collateral damage.
#MentalHealthMatters #DoNotComply",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MarkOFarrell9 @krisster8 @jodisp2019 @OmarAlghabra @MarkGerretsen Should Canada worry about the 50% chance of premature death form cancer and heart disease before the 0.057% chance of premature death form covid?
Gee where should the money go?",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@joncoopertweets Double vax and negative Covid tests are required to take train, boat or plane in Canada. Time to wake up, America.",movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AmandaCaresAlot @ItsDeanBlundell @MarkSlapinski @pfizer @LeadStoriesCom Are you racist? What difference would that make?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@more2mm @john_don123 I'm at my wits end trying to help #Canada understand.
I've been granted refuge in a country a very old friend rules, the President. Hard for some people to grasp rulers have friends
There is no fcking covid here. I'm fine everyone is fine and there are no restrictions.
NUFF SAID!",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MelissaLMRogers What about maaaasks (baaaa êë) and ""òsocial' distancing? May I give you a big hug when I greet you?",precaution,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@1CeliaGreen Yet again Hunt and Morrison are dragging the chain.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@RepSwalwell @chipfranklin In Canada, we have to show proof of double vaccination plus negative Covid test.",movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LeasaTrevor @linwood_barclay @Chapmans_Canada Uh... tested the on similar numbers as most other meds.,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers Cheers  çª ëç,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MelissaLMRogers It's called, ""Home Entertainment"", if every had homebound members to join in. òâ",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MarkLevineNYC As Canada will require from 1st December,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MelissaLMRogers It's called, ""Home Entertainment"", if everybody had homebound members to join in. òâ",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@1CeliaGreen @mattmua72 'Tell you what kids.

We want Mummy and Daddy to go to work.

So we're going to put you kids in a smoky room for 6 hours a day so you can breathe in the teacher's second hand smoke. Maybe if you're lucky we might open a window. 

Don't worry, almost nobody gets lung cancer.'",precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@yolandebouka What are you in Canada for then "" . I don't understand"" . you should be in Africa helping it "" . maybe start by getting a useful degree in STEM "" .. useless",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Billius27 @strauss_matt Highest positivity rate is algoma I believe.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@rick_pittman Depression shows you have a heart, plus only the most intelligent get depressed. So pat yourself on the back for being a caring smart person.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GAKechnie @ktumulty You're disgusting,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GAKechnie @ktumulty Typical leaf,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@dianamchard We're in a better space cause vaccinations. Yes we can still get sick and yes people/education boards still don't understand masks. But you know you and I are informed and ready to whether the storm.,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@TruismsT @OneGirlMelissa No problem. It easily escapes people's notice that First Nations Aussies are more vulnerable owing to comorbidities. There is no meaningful natural immunity in those populations. Vaccine uptake has been poor. 
The hyperbole on SM just serves to fuel hesitancy and anxiety.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@justbeeshing @sjredmond @BeagleLogic Do you understand how statistics work? 
7 day averages are used because testing is not conducted /reported 7 days a week. So, on Mondays, there may be a larger number reported, reflecting the weekend.  It doesn't mean that more covid infections occur on Mondays. So avg. used.",covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@randomaccesone Spidey !!!‚ù§Ô∏è,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CheriDiNovo Toss the 18.7 too. They are useless.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ThatsTh92324187 @Reuters ""A missal is a liturgical book containing all instructions and texts necessary for the celebration of Mass throughout the year.""",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@uhohsusannah @caringeconomist @marabscott @ItsDeanBlundell The u.s is 10 times the population, you can't compare Canada to the u.s. I'm comparing Florida which is 100% no restrictions to the rest of the country and especially ones that are restricted like Canada. We have the lowest covid rate in the u.s right now.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@RStewart321 @wgibson58 Everyone is awake.
No one in their personal lives is doing any covid measures.
Our white collar never wants to go back to 9 to 5 with unpaid travel.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@uhohsusannah @caringeconomist @marabscott @ItsDeanBlundell We have almost 40 million people here in the winter with snow birds and we have zero restrictions. I have had covid and it wasn't the worst flu I ever had.,movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@SammyG_MD Doesn't matter they would't have taken it, hesitancy is not lack of inventory.",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@nataliehamill35 @POTUS I just read that Canada has one of the highest living standards in the world, along with one of the highest vaccination rates in the world. 

I'd move there if I was younger and could stand the cold.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@AusIndiMedia Hey, the leader of the federal Canadian Conservative Party refuses to disclose the vaccination status of his MPs. Every other party in the House of Commons is fully compliant in that regard. #COVIDIOTS",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jim_duffus @fact_factoid Did young people die before covid? I'm old enough to remember they do.,covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ACTBrigitte @thausman51 China didn't work alone. The gain of function research started in the US and was transferred to Wuhan via Canada during the Obama Administration. Fauci funded it.,covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@anthonysimone95 @caringeconomist @marabscott @ItsDeanBlundell So math wasn't taught either.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@anthonysimone95 @uhohsusannah @caringeconomist @ItsDeanBlundell There are 35 million people in all of Canada you idiot.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MelissaLMRogers anyone who doesn't submit to tyranny that can afford drinks must be rich. why? because CRB ended for 900,000+ people and many have nowhere to turn to for money.",economy,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How could the new #Omicron variant possibly get in to Canada if all passenger flights and land border crossings have mandatory vaccination policies?  It's almost as if their fear of the new variant is an admission that they know the vax doesn't stop infection/transmission.,variant,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@pheediep @sapphiresdust @StevijoPayne I'm from Saskatchewan, Canada. We have restrictions till the end of January, so far. I tried to go into a store today and had to leave because I didn't have proper proof of vaccinations. I can't go into any restaurants till Friday.  Still lots going on here.",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@GAKechnie @ktumulty That is down right SICKENING. Support dogs for those lining up to get blood clots, seizures, Bell's palsy, strokes, sudden death"" need I go on?",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CheriDiNovo @POTUS - did you know that @JustinTrudeau and @fordnation are throwing away vaccines and hoarding them?,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@rick_pittman The first week of 15 days to flatten the curve I said to my spouse ""there's something nefarious going on here""ù. Apparently my instincts are still working. I trust them now more than ever.",precaution,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers It's your funeral. And a new COVID variant doesn't have a 'marketing campaign.' #COVIDIOT,variant,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MelissaLMRogers I'll bring the kombucha,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MelissaLMRogers Ignorance isn't bliss, it's death.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Breaking911 CANADA  USA ... ALL ON THE PLANET
Terrible of the Great Reset plot.Very satanic and hard measures  §¨",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@RarelySurprised @StoneSculptorJN @Humanlty1o1 @Tormund_G_ @StanTumoth @TrumpDownfall @SwearingJustin @SoupVessel @anja_weimer @Thumper754 @RantsWinnipeg @tlstene @MarkSlapinski @MarkFriesen08 Canadians are not being prevented from traveling out of the country. By all means, go.
Canadians can be held to the protocol for returning to the country.  
This whole WCB thing is a weird flex, I highly doubt that will happen. A vaccine adverse reaction is not workplace injury.",movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ericjem7 @RepSwalwell The only people I know with health problems related to C-19 are those that got the shots. Most the people I know in CO had C-19, no problem. The shots are causing health issues. Vax killed one of my friends. My Canadian friend got the shot to come to US. But has health issue now.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@carol_fraughton @ChristianWalk1r You are in a prison camp and you dont know it yet because they havent stopped feeding you. And when they do stop, you wont figure it out because you are fully invested in the narrative.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@nspector4 Yes they would.  Not to mention blackface"" ",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman @ComradeVero They don't care. To them it's all about #fearporn,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rushlimbro It doesn't have to make sense,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@EatSleepMask @DrEliDavid Did the know the average age of death from covid in America is 80? In Canada 83. Did you know statistically that the vaccine did more harm from young men than Covid did? I have so many statistics I could go on for days,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@CheriDiNovo Seriously, who is in charge of distributing, how much are we paying them to waste precious vaccines. Putting peoples lives at risk and increasing risk of Covid mutation is a shitty, irresponsible game plan. This makes me sick to my stomach.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GAKechnie @ktumulty Creepy,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GAKechnie @ktumulty Child abuse,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MattGiancolaPPC Looks like a lockdown is imminent...
I called this last year...
another Christmas to be kept apart from friends and family...
and the minions will comply...",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@awbitcoin @fintechfrank To add to this: vaccine makes it so if you are infected, on average you will get less sick, and on average you will spread less. Its about viral load. This is important in countries with limited hospital space, like Canada. We were full-up pre-pandemic lol.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@WayneDevlin5 @john_don123 if you need a housekeeper just call...I'll immigrate. It's too painful watching canada devolve with the fools + corruption in charge. I literally do all my shopping online now and hide in my house..becos I canNOT stand seeing ppl in masks.,covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@RisingWarrior3 @chrissaccoccia1 Thanks, but Sky seems to suggest the legal definition of ""Traveller""ù is different from the definition of a Cdn. Citizen and I think he may have something.  Alot of the Cdn. Policy says you ""need""ù the vaccine.  That does not mean ""required""ù legally.",movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BogochIsaac Dude How could the new #Omicron variant possibly get in to Canada if all passenger flights and land border crossings have mandatory vaccination policies?  It's almost as if their fear of the new variant is an admission that they know the vax doesn't stop infection/transmission.,movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@1CeliaGreen What is the risk of adverse reactions in this age group ( asking as the mum of a 5yo)?,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@aleksic I have family, social, intellectual and charitable ties here, and I do love Canada. Family is essential. 

If Trudeau or BC had increased taxes any more I'd have left. Taxes are now 13% less in Washington state. I could stay connected just across the border. Covid changed that.",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CheriDiNovo We are giving boosters when only 6% of Africa has been vaccinated.,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@lammy9661 @GypsysoulK @CTVNews @whittakertp I dam well do!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@hugofroyo @makhecha_komal If we waiting for the entire developing world to be vaxxed, could be 5-10 years. No reason not to expect new variants and new waves until then. Polio wasnt eradicated in Canada until 1994, which was 39 years after vaccine.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@CheriDiNovo Synthetic substances don't seem working on Covid, might appeared to be perfect in a controlled environment, but not working well outside, even the anti Covid pills don't seem to work well outside, China and Taiwan also use natural substances sych as Respireaid or Fucoidan.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@aleksic The other is that land is much cheaper in the US but construction costs are only slightly less. It's possible to over-improve a property in say Bellingham. It's almost impossible to over-improve a great lot in West Vancouver.,economy,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@justin_millsy Sorry to hear this Fam. I will send positive vibes from Canada.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GAKechnie @ktumulty My cat got second shot already,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@1CeliaGreen @vjmahon So keen to get my under 12s done - newly 12 year old just had their first dose, will be done and dusted by Christmas.  Do you think there's a chance they'll approve it early the new year?",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SpaFoot2 @raelyn50876628 @RepSwalwell Cuck,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ReneeStephen @forsyth_barb @Kelans27 @Ben_S_Harper Yes I do.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@spectatorindex Was not first detected in SA, but more correctly so SA naively came out about it first and became the scapegoat!",variant,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RetwaA @AlanCane604 @Natalia01Mateo @Bird5Ca @Franktmcveety @MrStache9 @LeonardRoxon @CanAditude Shameful. This should be sent to every politician in a Canada from Canadians. They need to get their asses into the gear. Zoom days are over. Move it! Get to work at the office! @JustinTrudeau @fordnation,economy,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@GAKechnie @ktumulty Please note, this insane lady doesn't represent all of Canadians.
#branchCovidian",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So I can officially say I have done a Covid test ! I had to do one before coming back to Canada at the resort ! 

It definitely was not that bad!",movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rick_pittman MB : Unvaxxed can sit on patio but not inside. On patio unvaxxed have to sit at separate table from vaxxed. This has been forever. Come Jan. You can't get a license without vaccine. They suck. I visit from Ontario I have to quarantine 14 days. This has been forever. They suck,movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@1CeliaGreen I'd get my 3 yo done today if we were allowed; it's going through ECE too.,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MattGiancolaPPC They can take their benefit and shove it, it's time to leave the system and create an alternate economy and stop paying taxes to this corrupt government.",economy,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bullisheh @RCCanuck1234 @Ben_S_Harper I see delusion is your thing.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID measures are never going away because the virus goes away. Omicron pretty much ensures that the virus in one form or another has become endemic. (Which was likely even without O.) 11/,variant,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SandyHasCandy @RStewart321 We are living in scary times and it is even scarier that many do not realize that it is not Covid that is the danger.,covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@0x_rusher @awbitcoin @fintechfrank How does that metric work by the way ? Less sick ? Can somebody please show us the formula on that?,covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Canada_BTS Oh noooo,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MarkLevineNYC You have to be vaccinated to fly domestically and leaving Canada.  PCR test to return even if vaccinated,movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Canada_BTS be carefully !!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Lorrain93365033 @pheediep @sapphiresdust @StevijoPayne I live in Regina and like these vaccine protocols. It's a carrot/stick approach. Want to buy beer/wine/liquor at a govt outlet? Be prepared to show you vaccine status.,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Canada_BTS Our line wasn't checked at all. Very not impressed,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RichardGrenell Who is it that Biden hates? I remember not too long ago that I couldn't travel between Canadian provinces in an effort to stop Covid. Was that based on hate? Should I be calling someone racist over that?,movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@THATSAGOODRIND @sapphicscorpio their covid cases are so bad that their premier had to literally make an apology,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@CAWelland This is the story all around the world now. I don't trust doctors here in Canada. They have taken on the antivax rhetoric, refusing to see patients who aren't vaxed, Covid swabs and no personalized care. They have caved instead of rising up for their patients. It's disastrous",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Canada_BTS I'm not surprised,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Alnitak_IV It looks to be the reverse of Canada Life Centre.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MattGiancolaPPC So they're planning for more lockdowns? 

Typical",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SpaFoot2 @raelyn50876628 @RepSwalwell Glad I don't live there!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NightShiftMD Meaning no inclusion of any information on the JandJ boosters is in any govt. briefings or on media,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MattGiancolaPPC Lockdown again  òÇ   These satanists are getting annoying and old now. Typical BS, lies",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
